Code_Entite;Nom_Entite;Code_Parent;Annee;GES_Agriculture;GES_Industrie;GES_Résidentiel;GES_Tertiaire;GES_Transports;CONSO_Residentiel;CONSO_Tertiaire;puissance_enr_hydro;puissance_enr_photo;puissance_enr_eolien;prod_enr_thermique_bois_energie;prod_enr_thermique_PAC;prod_enr_thermique_Incinerateurs;prod_enr_thermique_Biogaz;prod_enr_thermique_Solaire_thermique;chaleur_renouvelable;amenagements_cyclable;pourcentageVPelectrique;tonnage_dechets_enfouis;part_dechets_recycles;nbre_recycleries;canaux;eau_potable;industrie;irrigation;Conso_ENAF;Osmo_previ;Osmo_ini;Osmo_enga;Osmo_ter;Osmo_aban;aires_protegees
3;Allier;;2022;1.387875333;0.763625965;0.326543812;0.156998413;0.979570687;2.668884286;1.105189523;0.035966;0.2765797;0.065066;0.734171383;0.297671588;0.112762691;0.008915113;0.011169093;0.08219407;478.378;0.989048518931718;65528.99;66.5746796534005;3;;;;;182.193;;;;;;0.79
3;Allier;;2023;1.382428922;0.687143015;0.304990803;0.151787313;0.960310958;2.523753641;1.04846427;0.036153;0.3378221;0.065066;0.709612924;0.338155818;0.103540726;0.008248579;0.011307552;0.077390056;498.589;1.38203893847068;62470.46;66.9616682188249;3;;;;;237.6369;;;;;;0.79
3;Allier;;2024;1.360713635;0.699740947;0.306049789;0.146141232;0.9493963;2.510362447;1.037158675;0.038268;0.4746235;0.065066;0.765602623;0.366795881;0.106322552;0.006244756;0.011307552;0.058209861;517.689;1.77001486992188;;;;;;;;;0;32;3;3;0;0.8
3;Allier;;2025;;;;;;;;;;;;;;;;;597.112;;;;;;;;;;0;32;3;3;0;0.8
3;Allier;;2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Allier;;2027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Allier;;2028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Allier;;2029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Allier;;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Ardèche;;2015;0.268989329;0.838315601;0.341907994;0.199827541;0.480392933;2.601765661;0.829345838;0.447411;0.0597979;0.100214;0.779273383;0.135980858;0.048152367;0.00038819;0.011268203;0.037448464;;0.0884830131541592;;;6;0;29.483521;5.011077;11.601911;159.4912;;;;;;
7;Ardèche;;2016;0.273006401;0.916892504;0.30022162;0.188449648;0.4877006;2.467350505;0.813283424;0.447554;0.0600974;0.101114;0.848585778;0.149677691;0.07207329;0.000663713;0.012064502;0.037602096;;0.156565467733493;;;6;0;28.353437;3.375604;8.851737;152.571;;;;;;
7;Ardèche;;2017;0.267166757;0.95700921;0.305504233;0.183498522;0.483166946;2.505199292;0.825407288;0.447669;0.0630679;0.190574;0.820983603;0.164969906;0.067280378;0.00038819;0.012145068;0.040069878;;0.216898717528647;;;6;0;29.009774;3.645359;13.283801;164.6496;;;;;;
7;Ardèche;;2018;0.265130424;0.982100304;0.312876504;0.175951591;0.468365347;2.56205849;0.817493803;0.447742;0.0776633;0.197314;0.787736052;0.184351767;0.05407776;0.000741311;0.011958647;0.040461822;;0.269715761082551;;;6;2.4196;29.086206;3.563641;10.785221;196.9062;;;;;;
7;Ardèche;;2019;0.263979268;0.965073711;0.302673088;0.160225561;0.466891278;2.49903867;0.788715704;0.447609;0.0835677;0.224714;0.852773528;0.208963049;0.051729944;0.000832;0.012319468;0.040843135;;0.334234433042775;85614.63;57.7747838750974;7;1.803;28.981803;3.239041;12.345687;231.553;;;;;;
7;Ardèche;;2020;0.263431583;0.911367766;0.305164015;0.147618075;0.388821441;2.559809583;0.783256723;0.448034;0.1000973;0.2301;0.810186832;0.236474698;0.036060742;0.000948945;0.012371014;0.044462568;;0.569491154177866;82737.47;57.3459283390257;7;5.714908;29.093778;3.079821;11.073609;264.5388;;;;;;1.45
7;Ardèche;;2021;0.262989398;0.974888907;0.276337614;0.118977759;0.444180557;2.463269611;0.79556535;0.4485561;0.1318832;0.2255;0.923198588;0.266977187;0.071374135;0.001112212;0.012628743;0.047489222;;0.872144043274185;84299.75;59.9782894459694;7;10.984284;28.724624;3.107026;7.465296;146.2889;;;;;;1.45
7;Ardèche;;2022;0.262441815;0.963246889;0.25256051;0.116496359;0.461634389;2.382117878;0.817930556;0.4521361;0.1468212;0.2312;0.793485232;0.304286747;0.046171251;0.001114344;0.012474106;0.036973857;602.329;1.29574842339419;75943.64;61.3346229229524;7;;;;;161.5396;;;;;;1.45
7;Ardèche;;2023;0.267082583;0.914165851;0.233354555;0.106504217;0.454610674;2.238363553;0.742092766;0.4517001;0.1693923;0.2312;0.805352739;0.345670659;0.06015054;0.001089504;0.012628743;0.043503224;618.776;1.76644029077644;65402.29;66.8851730994764;7;;;;;145.0083;;;;;;1.46
7;Ardèche;;2024;0.268179866;0.866871128;0.236899595;0.103994159;0.452476514;2.242001418;0.749147805;0.4514741;0.1940528;0.2321;0.837796416;0.374947189;0.065484031;0;0.012628743;0.043263965;769.504;2.26479922364728;;;;;;;;;20;24;4;7;2;1.46
7;Ardèche;;2025;;;;;;;;;;;;;;;;;836.941;;;;;;;;;;18;23;4;9;3;1.46
7;Ardèche;;2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Ardèche;;2027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Ardèche;;2028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Ardèche;;2029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Ardèche;;2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Cantal;;2015;1.22129864;0.121066114;0.210988692;0.098163615;0.338894797;1.377914912;0.476086505;0.448945;0.1240497;0.099;0.425393906;0.068936219;0;3.23381E-05;0.005380511;0.027995812;;0.0442785754949712;;;1;0;19.361353;0.912394;0.816246;143.3271;;;;;;
15;Cantal;;2016;1.206793862;0.11872181;0.18097474;0.091483914;0.347854157;1.276717932;0.462552836;0.4491186;0.1315069;0.113;0.44146931;0.075360803;0;0.000158277;0.005711501;0.029197474;;0.0753642605928655;;;1;0;19.043849;0.876413;0.817105;92.4162;;;;;;
15;Cantal;;2017;1.208684365;0.110691766;0.184969303;0.088937329;0.343741566;1.304091457;0.456104075;0.4491186;0.1364266;0.113;0.453766403;0.082636351;0;0.001708308;0.005726805;0.034032578;;0.0986152344966471;;;1;0;18.914248;0.840587;0.386418;61.5734;;;;;;
15;Cantal;;2018;1.195623737;0.120356453;0.188345234;0.086637501;0.336498701;1.327218818;0.465261791;0.4492516;0.1459569;0.117;0.418224154;0.091618834;0;0.000979837;0.005556667;0.032622245;;0.135909034319625;;;1;0;19.211354;0.819635;0.738514;64.7083;;;;;;
15;Cantal;;2019;1.176488273;0.108804546;0.180401651;0.079984185;0.328766745;1.286063636;0.45576949;0.4493766;0.1531045;0.117;0.439538923;0.103850108;0;0.000548864;0.005724326;0.040727996;;0.181023720349563;39709.8;47.3031268728958;4;0;18.833885;0.854087;0.719918;72.1009;;;;;;
15;Cantal;;2020;1.160945723;0.08564863;0.182589212;0.073064174;0.276225198;1.296653639;0.459629175;0.4491386;0.1636442;0.117;0.449956441;0.117522802;0;0.002255387;0.005748277;0.082885622;;0.361169561257498;40633.68;47.5292859461067;4;0;17.783022;0.734627;0.740141;67.8402;;;;;;0.05
15;Cantal;;2021;1.137751319;0.099047164;0.167823664;0.05441314;0.31420404;1.291185823;0.442466224;0.4488736;0.1742518;0.117;0.519364224;0.132681879;0;0.000986774;0.005868032;0.087223096;;0.573689006710297;40702.08;52.1276890356672;4;0;17.913252;0.868937;0.409603;69.8779;;;;;;0.05
